amfi_code,sharpe_ratio
119551,0.5133584252754712
119552,0.9532794968660104
119598,0.9453082575156092
119599,-0.0571866258281799
119120,-0.2265753866279159
100016,-0.2015170675596694
125497,0.7757902498211207
100033,1.0936987435346308
125498,0.3006119210425478
100025,-0.5670947928476847
120503,0.5403755787820352
120504,1.0265242847993004
120505,1.1801011976606497
120506,0.6488787755249532
120507,0.4957233929533124
118632,0.8265737650613583
118633,0.6452074382933215
118634,0.4484340089089914
118635,0.6648569985490619
118636,-0.356629507514368
120841,-0.1560351046482022
120842,0.0759998480465891
120843,1.3067439695428409
120844,-0.0887472962155733
119092,0.467379915928618
119093,0.1296144979566932
119094,0.9982309868636414
119095,-0.0759735711747892
101206,1.0272133278753697
101207,0.1626607692864677
101208,-0.8155673679088278
102885,0.8170993373494368
102886,-0.2058316078547031
102887,0.6195175900829828
148567,1.4482911703262595
148568,0.9262873467360146
148569,1.2349300257743296
149322,0.4640374492204777
149323,1.1321218524747243
149324,0.9497958246616032
