amfi_code,sortino_ratio
119551,0.4622613457159376
119552,1.609776489628308
119598,1.6753165700125516
119599,-0.094387261294596
119120,-0.3767670081706672
100016,-0.351047460152309
125497,1.3306512447571366
100033,1.8291339615146944
125498,0.508812819716923
100025,-0.9418212366054208
120503,0.7122489541261182
120504,1.8052937940992548
120505,2.0293529404657464
120506,1.0958951614736467
120507,1.0521238822609291
118632,1.10522478065867
118633,1.1544757169236235
118634,0.7460146308533572
118635,1.137976718780742
118636,-0.6135251287271027
120841,-0.1232545637359562
120842,0.1246934698647566
120843,2.364320032166718
120844,-0.1877230477424232
119092,321.1168415180703
119093,0.2210868397927634
119094,1.7037974802463005
119095,-0.1281855927585193
101206,1.7995628746984524
101207,0.2766437962609233
101208,-1.6810378667512835
102885,1.4357420130649492
102886,-0.3472223025472727
102887,1.0887552508030014
148567,2.385644373368818
148568,1.6327409778735162
148569,2.1469139263460555
149322,0.7621288703723165
149323,1.875101063919208
149324,1.619793176491409
